"","Name","Class","Role","Tier","Score","Trend","Win %","Role %","Pick %","Ban %","KDA","Patch"
"4051","Rell","Tank","SUPPORT","S",58.77,"-9.85",0.5112,0.9189,0.0487,0.0718,2.76,"13_18"
"4052","Renata Glasc","Support","SUPPORT","B",43.31,"-1.52",0.5029,0.9883,0.0191,0.0045,2.66,"13_18"
"4053","Renekton","Fighter","TOP","God",88.13,"4.86",0.5073,0.9196,0.0999,0.0875,1.96,"13_18"
"4054","Rengar","Assassin","JUNGLE","B",43.75,"1.24",0.4884,0.7801,0.0326,0.0834,2.26,"13_18"
"4055","Rengar","Assassin","TOP","C",38.99,"-3",0.5077,0.1804,0.0082,0.0834,1.93,"13_18"
"4056","Riven","Fighter","TOP","A",53.49,"-0.13",0.4976,0.9021,0.044,0.0141,1.84,"13_18"
"4057","Rumble","Fighter","JUNGLE","B",48.26,"7.6",0.5214,0.1217,0.0041,0.0203,2.96,"13_18"
"4058","Rumble","Fighter","MID","B",47.13,"2.17",0.5286,0.1892,0.0061,0.0203,2.53,"13_18"
"4059","Rumble","Fighter","TOP","B",45.96,"-0.22",0.5072,0.6569,0.0211,0.0203,2.09,"13_18"
"4060","Ryze","Mage","MID","B",43.29,"0.08",0.4974,0.8168,0.0171,0.0019,2.31,"13_18"
"4061","Ryze","Mage","TOP","D",31.23,"-5.2",0.4823,0.1579,0.0033,0.0019,1.97,"13_18"
"4062","Samira","Marksman","ADC","A",54.56,"-3.73",0.5006,0.982,0.0843,0.211,2.24,"13_18"
"4063","Sejuani","Tank","JUNGLE","A",48.58,"3.09",0.5045,0.8656,0.0229,0.0039,3.1,"13_18"
"4064","Senna","Marksman","SUPPORT","God",75.81,"12.31",0.5184,0.902,0.0928,0.0389,2.54,"13_18"
"4065","Seraphine","Mage","ADC","A",48.7,"4.13",0.5388,0.2498,0.0118,0.0111,2.9,"13_18"
"4066","Seraphine","Mage","SUPPORT","B",46.89,"-2.36",0.491,0.6734,0.037,0.0111,2.39,"13_18"
"4067","Sett","Fighter","TOP","God",63.98,"1.96",0.5147,0.8411,0.0584,0.0275,1.76,"13_18"
"4068","Shaco","Assassin","JUNGLE","A",53.35,"-6.34",0.5003,0.6853,0.0586,0.1998,2.72,"13_18"
"4069","Shaco","Assassin","SUPPORT","C",40.26,"-0.56",0.4838,0.2503,0.0205,0.1998,2.19,"13_18"
"4070","Shen","Tank","TOP","A",52.39,"0.77",0.5103,0.8157,0.0225,0.0034,2.93,"13_18"
"4071","Shen","Tank","SUPPORT","D",35.13,"7.59",0.4924,0.144,0.0038,0.0035,2.62,"13_18"
"4072","Shyvana","Fighter","JUNGLE","B",46.13,"-1.17",0.514,0.7943,0.0171,0.0064,2.38,"13_18"
"4073","Shyvana","Fighter","TOP","D",33.02,"-1.35",0.5022,0.1689,0.0038,0.0068,1.58,"13_18"
"4074","Singed","Tank","MID","A",51.25,"-1.23",0.5488,0.1297,0.0028,0.0045,2.81,"13_18"
"4075","Singed","Tank","TOP","B",45.21,"-0.98",0.5176,0.7699,0.0174,0.0045,1.96,"13_18"
"4076","Sion","Tank","TOP","A",51.93,"0.57",0.5034,0.7604,0.0421,0.0243,1.53,"13_18"
"4077","Sion","Tank","MID","D",34.41,"-0.2",0.4945,0.1335,0.007,0.0243,1.17,"13_18"
"4078","Sivir","Marksman","ADC","A",50.87,"0.79",0.5167,0.9804,0.0602,0.0259,2.47,"13_18"
"4079","Skarner","Fighter","JUNGLE","A",50.18,"3.04",0.5336,0.822,0.0076,0.0018,2.8,"13_18"
"4080","Skarner","Fighter","TOP","D",32.97,"1.27",0.4927,0.1205,0.0011,0.0016,2.08,"13_18"
"4081","Sona","Support","SUPPORT","A",49.68,"-4.01",0.5126,0.9779,0.029,0.0017,2.82,"13_18"
"4082","Soraka","Support","SUPPORT","God",64.29,"-5.33",0.5155,0.9654,0.064,0.0297,2.75,"13_18"
